player,minute,xG,outcome,location,technique
Ayoub El Kaabi,18,0.077,Blocked,"[110.8, 38.6, 2.0]",Normal
Gelson Dany Batalha Martins,86,0.077,Off T,"[104.7, 43.2, 0.0]",Normal
Francisco Leonel Lima Silva Machado,2,0.081,Off T,"[100.5, 44.9, 0.0]",Normal
Francisco Leonel Lima Silva Machado,56,0.082,Off T,"[98.3, 46.5, 0.0]",Normal
Ayoub El Kaabi,6,0.083,Off T,"[112.1, 42.8, 2.33]",Normal
Daniel Castelo Podence,67,0.085,Blocked,"[103.8, 29.8, 0.0]",Normal
Gelson Dany Batalha Martins,11,0.092,Blocked,"[107.8, 46.5, 0.0]",Normal
Ayoub El Kaabi,73,0.093,Blocked,"[105.3, 31.7, 0.0]",Normal
Ayoub El Kaabi,46,0.094,Saved,"[108.5, 39.5, 2.17]",Normal
Ayoub El Kaabi,87,0.095,Wayward,"[112.4, 39.8, 2.31]",Normal
